Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
P24666	P24666;P24666-4	PPAC_HUMAN	ACP1	Low molecular weight phosphotyrosine protein phosphatase	3.90579e+06
P24723;P24723-2;Q02156	P24723;P24723-2;Q02156	KPCE_HUMAN;KPCL_HUMAN	PRKCE;PRKCH	Protein kinase C eta type	66922
P24752	P24752	THIL_HUMAN	ACAT1	Acetyl-CoA acetyltransferase, mitochondrial	6.80964e+06
P24821;P24821-2;P24821-3;P24821-4;P24821-5;P24821-6	P24821;P24821-2;P24821-3;P24821-4;P24821-5;P24821-6	TENA_HUMAN	TNC	Tenascin	126279
P24863;P24863-2	P24863;P24863-2	CCNC_HUMAN	CCNC	Cyclin-C	119479
P24864;P24864-2;P24864-3	P24864;P24864-2;P24864-3	CCNE1_HUMAN	CCNE1	G1/S-specific cyclin-E1	13067
P24928	P24928	RPB1_HUMAN	POLR2A	DNA-directed RNA polymerase II subunit RPB1	3.68281e+06
P24941	P24941;P24941-2	CDK2_HUMAN	CDK2	Cyclin-dependent kinase 2	1.34503e+06
P25054;P25054-2	P25054;P25054-2;P25054-3	APC_HUMAN	APC	Adenomatous polyposis coli protein	532080
P25098	P35626;P25098	ARBK1_HUMAN	GRK2	Beta-adrenergic receptor kinase 1	370885
P25205;P25205-2	P25205;P25205-2	MCM3_HUMAN	MCM3	DNA replication licensing factor MCM3	7.5935e+06
P25208	P25208	NFYB_HUMAN	NFYB	Nuclear transcription factor Y subunit beta	112179
P25325;P25325-2	P25325;P25325-2	THTM_HUMAN	MPST	3-mercaptopyruvate sulfurtransferase	856306
P25398	P25398	RS12_HUMAN	RPS12	40S ribosomal protein S12	5.94066e+06
P25440;P25440-2;P25440-3;P25440-4	P25440;P25440-2;P25440-3;P25440-4	BRD2_HUMAN	BRD2	Bromodomain-containing protein 2	455167
P25440;P25440-2;P25440-3;P25440-4;Q15059	P25440;P25440-2;P25440-3;P25440-4;Q15059;Q15059-2	BRD2_HUMAN;BRD3_HUMAN	BRD2;BRD3	Bromodomain-containing protein 2	19404
P25445;P25445-6	P25445;P25445-6	TNR6_HUMAN	FAS	Tumor necrosis factor receptor superfamily member 6	67405
P25490	P25490	TYY1_HUMAN	YY1	Transcriptional repressor protein YY1	242014
P25685	P25685;P25685-2	DNJB1_HUMAN	DNAJB1	DnaJ homolog subfamily B member 1	2.04606e+06
P25685;Q9UDY4	Q9UDY4;P25685;P25685-2	DNJB1_HUMAN;DNJB4_HUMAN	DNAJB1;DNAJB4	DnaJ homolog subfamily B member 1	250138
P25686	P25686;P25686-2	DNJB2_HUMAN	DNAJB2	DnaJ homolog subfamily B member 2	54269
P25705	P25705;P25705-2;P25705-3	ATPA_HUMAN	ATP5F1A	ATP synthase subunit alpha, mitochondrial	2.42727e+07
P25786;P25786-2	P25786;P25786-2	PSA1_HUMAN	PSMA1	Proteasome subunit alpha type-1	8.29183e+06
P25787	P25787	PSA2_HUMAN	PSMA2	Proteasome subunit alpha type-2	2.6781e+06
P25788;P25788-2	P25788;P25788-2	PSA3_HUMAN	PSMA3	Proteasome subunit alpha type-3	3.07623e+06
P25789	P25789;P25789-2	PSA4_HUMAN	PSMA4	Proteasome subunit alpha type-4	5.46923e+06
P25815	P25815	S100P_HUMAN	S100P	Protein S100-P	2.2339e+06
P26006;P26006-1	P26006;P26006-1	ITA3_HUMAN	ITGA3	Integrin alpha-3	2.13194e+06
P26038	P26038	MOES_HUMAN	MSN	Moesin	2.04679e+07
P26038;P35241	P26038;P35241;P35241-4;P35241-5	MOES_HUMAN;RADI_HUMAN	MSN;RDX	Moesin	314138
P26045	P26045;P26045-2;P26045-3	PTN3_HUMAN	PTPN3	Tyrosine-protein phosphatase non-receptor type 3	555373
P26196	P26196	DDX6_HUMAN	DDX6	Probable ATP-dependent RNA helicase DDX6	3.56824e+06
P26232-3	P26232;P26232-2;P26232-3;P26232-5	CTNA2_HUMAN	CTNNA2	Isoform 3 of Catenin alpha-2	196084
P26232-3;P35221;P35221-2	P26232;P26232-2;P26232-3;P26232-4;P26232-5;P26232-6;P35221;P35221-2;P35221-3	CTNA1_HUMAN;CTNA2_HUMAN	CTNNA1;CTNNA2	Isoform 3 of Catenin alpha-2	198121
P26358	P26358;P26358-2	DNMT1_HUMAN	DNMT1	DNA (cytosine-5)-methyltransferase 1	2.31941e+06
P26368;P26368-2	P26368;P26368-2	U2AF2_HUMAN	U2AF2	Splicing factor U2AF 65 kDa subunit	6.06784e+06
P26373	P26373;P26373-2	RL13_HUMAN	RPL13	60S ribosomal protein L13	2.07391e+07
P26374	P26374	RAE2_HUMAN	CHML	Rab proteins geranylgeranyltransferase component A 2	156946
P26440	P26440;P26440-2	IVD_HUMAN	IVD	Isovaleryl-CoA dehydrogenase, mitochondrial	553259
P26447	P26447	S10A4_HUMAN	S100A4	Protein S100-A4	1.03652e+07
P26572	P26572	MGAT1_HUMAN	MGAT1	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	62161
P26583	P26583	HMGB2_HUMAN	HMGB2	High mobility group protein B2	3.37822e+06
P26599;P26599-2;P26599-3	P26599;P26599-2;P26599-3	PTBP1_HUMAN	PTBP1	Polypyrimidine tract-binding protein 1	1.38119e+07
P26639	P26639;P26639-2;A2RTX5;A2RTX5-2	SYTC_HUMAN	TARS1	Threonine--tRNA ligase 1, cytoplasmic	1.99091e+07
P26640	P26640	SYVC_HUMAN	VARS1	Valine--tRNA ligase	9.36977e+06
P26641;P26641-2	P26641;P26641-2	EF1G_HUMAN	EEF1G	Elongation factor 1-gamma	1.7814e+07
P26885	P26885	FKBP2_HUMAN	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2	1.01856e+06
P27105	P27105;P27105-2	STOM_HUMAN	STOM	Erythrocyte band 7 integral membrane protein	1.93676e+06
P27338	P27338;P27338-2	AOFB_HUMAN	MAOB	Amine oxidase [flavin-containing] B	193783
P27348	P27348	1433T_HUMAN	YWHAQ	14-3-3 protein theta	1.01515e+07
P27348;P31946;P31946-2;P31947;P61981;P62258;P63104;Q04917	Q04917;P31947;P31947-2;P61981;P31946;P31946-2;P63104;P62258;P62258-2;P27348	1433B_HUMAN;1433E_HUMAN;1433F_HUMAN;1433G_HUMAN;1433S_HUMAN;1433T_HUMAN;1433Z_HUMAN	SFN;YWHAB;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ	14-3-3 protein theta	5.25874e+06
P27348;P31946;P31946-2;P61981;Q04917	Q04917;P61981;P31946;P31946-2;P27348	1433B_HUMAN;1433F_HUMAN;1433G_HUMAN;1433T_HUMAN	YWHAB;YWHAG;YWHAH;YWHAQ	14-3-3 protein theta	580770
P27348;P31946;P31946-2;P63104	P31946;P31946-2;P63104;P63104-2;P27348	1433B_HUMAN;1433T_HUMAN;1433Z_HUMAN	YWHAB;YWHAQ;YWHAZ	14-3-3 protein theta	1.08262e+06
P27361;P27361-2;P27361-3	P27361;P27361-2;P27361-3	MK03_HUMAN	MAPK3	Mitogen-activated protein kinase 3	507966
P27361;P27361-2;P27361-3;P28482;P28482-2	P28482;P28482-2;Q16659;P27361;P27361-2;P27361-3;P31152	MK01_HUMAN;MK03_HUMAN	MAPK1;MAPK3	Mitogen-activated protein kinase 3	743191
P27448-8	P27448;P27448-2;P27448-3;P27448-4;P27448-6;P27448-7;P27448-8	MARK3_HUMAN	MARK3	Isoform 7 of MAP/microtubule affinity-regulating kinase 3	560740
P27448-8;Q7KZI7;Q7KZI7-11;Q7KZI7-4;Q7KZI7-5;Q7KZI7-8;Q7KZI7-9	Q7KZI7;Q7KZI7-2;Q7KZI7-3;Q7KZI7-4;Q7KZI7-5;Q7KZI7-6;Q7KZI7-7;Q7KZI7-8;Q7KZI7-9;Q7KZI7-10;Q7KZI7-11;Q7KZI7-12;Q7KZI7-13;Q7KZI7-14;Q7KZI7-15;Q7KZI7-16;P27448;P27448-2;P27448-3;P27448-4;P27448-6;P27448-7;P27448-8	MARK2_HUMAN;MARK3_HUMAN	MARK2;MARK3	Isoform 7 of MAP/microtubule affinity-regulating kinase 3	248552
P27449	P27449	VATL_HUMAN	ATP6V0C	V-type proton ATPase 16 kDa proteolipid subunit	279116
P27482	P27482	CALL3_HUMAN	CALML3	Calmodulin-like protein 3	2.71632e+06
P27540;P27540-2;P27540-3;P27540-4	P27540;P27540-2;P27540-3;P27540-4	ARNT_HUMAN	ARNT	Aryl hydrocarbon receptor nuclear translocator	165192
P27635	P27635;Q96L21	RL10_HUMAN	RPL10	60S ribosomal protein L10	9.52031e+06
P27694	P27694	RFA1_HUMAN	RPA1	Replication protein A 70 kDa DNA-binding subunit	3.14827e+06
P27695	P27695	APEX1_HUMAN	APEX1	DNA-(apurinic or apyrimidinic site) lyase	7.85492e+06
P27707	P27707	DCK_HUMAN	DCK	Deoxycytidine kinase	521509
P27708	P27708	PYR1_HUMAN	CAD	CAD protein	1.16817e+07
P27708;P31327;P31327-3	P31327;P31327-2;P31327-3;P27708	CPSM_HUMAN;PYR1_HUMAN	CAD;CPS1	CAD protein	201475
P27797	P27797	CALR_HUMAN	CALR	Calreticulin	1.32529e+07
P27797;P27824;P27824-2	P27824;P27824-2;P27824-3;P27797	CALR_HUMAN;CALX_HUMAN	CALR;CANX	Calreticulin	32834
P27815;P27815-2;P27815-3;P27815-4;P27815-6;P27815-7	P27815;P27815-2;P27815-3;P27815-4;P27815-6;P27815-7	PDE4A_HUMAN	PDE4A	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	141295
P27815;P27815-2;P27815-3;P27815-4;P27815-6;P27815-7;Q07343;Q07343-3;Q08499;Q08499-10;Q08499-11;Q08499-2;Q08499-6;Q08499-9	Q08499;Q08499-2;Q08499-3;Q08499-4;Q08499-5;Q08499-6;Q08499-8;Q08499-9;Q08499-10;Q08499-11;Q07343;Q07343-2;Q07343-3;Q07343-4;P27815;P27815-2;P27815-3;P27815-4;P27815-5;P27815-6;P27815-7	PDE4A_HUMAN;PDE4B_HUMAN;PDE4D_HUMAN	PDE4A;PDE4B;PDE4D	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	84263
P27815;P27815-2;P27815-3;P27815-4;P27815-6;P27815-7;Q08499;Q08499-10;Q08499-11;Q08499-2;Q08499-6;Q08499-9	Q08499;Q08499-2;Q08499-3;Q08499-4;Q08499-5;Q08499-6;Q08499-8;Q08499-9;Q08499-10;Q08499-11;P27815;P27815-2;P27815-3;P27815-4;P27815-5;P27815-6;P27815-7	PDE4A_HUMAN;PDE4D_HUMAN	PDE4A;PDE4D	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	48196
P27816	P27816;P27816-2;P27816-6	MAP4_HUMAN	MAP4	Microtubule-associated protein 4	1.16514e+07
P27824;P27824-2	P27824;P27824-2	CALX_HUMAN	CANX	Calnexin	1.32368e+07
P27986;P27986-2;P27986-3;P27986-4;P27986-5	P27986;P27986-2;P27986-3;P27986-4;P27986-5	P85A_HUMAN	PIK3R1	Phosphatidylinositol 3-kinase regulatory subunit alpha	1.13222e+06
P28062;P28062-2	P28062;P28062-2	PSB8_HUMAN	PSMB8	Proteasome subunit beta type-8	1.21779e+06
P28065;P28065-2	P28065;P28065-2	PSB9_HUMAN	PSMB9	Proteasome subunit beta type-9	103228
P28066	P28066;P28066-2	PSA5_HUMAN	PSMA5	Proteasome subunit alpha type-5	3.87697e+06
P28070	P28070	PSB4_HUMAN	PSMB4	Proteasome subunit beta type-4	1.68143e+06
P28072	P28072	PSB6_HUMAN	PSMB6	Proteasome subunit beta type-6	1.93668e+06
P28074	P28074;P28074-3	PSB5_HUMAN	PSMB5	Proteasome subunit beta type-5	2.05912e+06
P28288	P28288;P28288-2	ABCD3_HUMAN	ABCD3	ATP-binding cassette sub-family D member 3	1.28252e+06
P28290;P28290-3	P28290;P28290-2;P28290-3	ITPI2_HUMAN	ITPRID2	Protein ITPRID2	1.43954e+06
P28328	P28328	PEX2_HUMAN	PEX2	Peroxisome biogenesis factor 2	30440
P28331;P28331-2;P28331-4	P28331;P28331-2;P28331-3;P28331-4;P28331-5	NDUS1_HUMAN	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	6.56896e+06
P28340	P28340	DPOD1_HUMAN	POLD1	DNA polymerase delta catalytic subunit	2.50254e+06
P28347	Q99594;P28347;P28347-2	TEAD1_HUMAN	TEAD1	Transcriptional enhancer factor TEF-1	206338
P28347;Q15561;Q15561-3	Q15562;Q15562-2;Q15562-4;Q99594;Q15561;Q15561-3;P28347;P28347-2	TEAD1_HUMAN;TEAD4_HUMAN	TEAD1;TEAD4	Transcriptional enhancer factor TEF-1	2630
P28370;P28370-2	P28370;P28370-2	SMCA1_HUMAN	SMARCA1	Probable global transcription activator SNF2L1	195007
P28482;P28482-2	P28482;P28482-2	MK01_HUMAN	MAPK1	Mitogen-activated protein kinase 1	1.0587e+06
P28702;P28702-3	P28702;P28702-3	RXRB_HUMAN	RXRB	Retinoic acid receptor RXR-beta	242677
P28715	P28715	ERCC5_HUMAN	ERCC5	DNA repair protein complementing XP-G cells	1.6455e+06
P28749;P28749-2	P28749;P28749-2	RBL1_HUMAN	RBL1	Retinoblastoma-like protein 1	717287
P28799;P28799-2	P28799;P28799-2;P28799-3	GRN_HUMAN	GRN	Progranulin	136358
P28838;P28838-2	P28838;P28838-2	AMPL_HUMAN	LAP3	Cytosol aminopeptidase	2.8706e+06
P29083	P29083	T2EA_HUMAN	GTF2E1	General transcription factor IIE subunit 1	531413
P29084	P29084	T2EB_HUMAN	GTF2E2	Transcription initiation factor IIE subunit beta	469996
P29144	P29144	TPP2_HUMAN	TPP2	Tripeptidyl-peptidase 2	3.44505e+06
P29218;P29218-3	P29218;P29218-2;P29218-3	IMPA1_HUMAN	IMPA1	Inositol monophosphatase 1	899182
P29317	P29317	EPHA2_HUMAN	EPHA2	Ephrin type-A receptor 2	955596
P29317;P54760;Q06187;Q06187-2;Q9UF33	P29320;P54753;P54762;P54762-5;P29317;P29322;P54760;Q15375;Q15375-2;Q15375-4;P29323;P29323-2;P29323-3;P54756;P54756-2;P54756-3;Q9UF33;Q9UF33-2;Q9UF33-3;Q06187;Q06187-2	BTK_HUMAN;EPHA2_HUMAN;EPHA6_HUMAN;EPHB4_HUMAN	BTK;EPHA2;EPHA6;EPHB4	Ephrin type-A receptor 2	60748
P29317;P54760;Q9UF33	P54764;P54764-2;P54753;P54762;P54762-5;P29317;P54760;Q15375;Q15375-2;Q15375-4;P29323;P29323-2;P29323-3;Q9UF33;Q9UF33-2;Q9UF33-3	EPHA2_HUMAN;EPHA6_HUMAN;EPHB4_HUMAN	EPHA2;EPHA6;EPHB4	Ephrin type-A receptor 2	43872
P29350;P29350-2;P29350-3;P29350-4	P29350;P29350-3;P29350-2;P29350-4	PTN6_HUMAN	PTPN6	Tyrosine-protein phosphatase non-receptor type 6	328523
P29353;P29353-2;P29353-6;P29353-7	P29353;P29353-2;P29353-3;P29353-5;P29353-6;P29353-7	SHC1_HUMAN	SHC1	SHC-transforming protein 1	1.42159e+06
P29372	P29372	3MG_HUMAN	MPG	DNA-3-methyladenine glycosylase	564639
P29374;P29374-2;P29374-3	P29374;P29374-2;P29374-3	ARI4A_HUMAN	ARID4A	AT-rich interactive domain-containing protein 4A	72526
P29375;P29375-2	P29375;P29375-2	KDM5A_HUMAN	KDM5A	Lysine-specific demethylase 5A	181167
P29375;P29375-2;P41229;P41229-2;P41229-3;P41229-4;P41229-5	P29375;P29375-2;P41229;P41229-2;P41229-3;P41229-4;P41229-5;Q9BY66;Q9BY66-2;Q9BY66-3	KDM5A_HUMAN;KDM5C_HUMAN	KDM5A;KDM5C	Lysine-specific demethylase 5A	36437
P29400;P29400-2	P29400;P29400-2	CO4A5_HUMAN	COL4A5	Collagen alpha-5(IV) chain	113200
P29401;P29401-2	P29401;P29401-2	TKT_HUMAN	TKT	Transketolase	2.53917e+07
P29466;P29466-2;P29466-3	P29466;P29466-2;P29466-3;P29466-4	CASP1_HUMAN	CASP1	Caspase-1	656986
P29558;P29558-2	P29558;P29558-2	RBMS1_HUMAN	RBMS1	RNA-binding motif, single-stranded-interacting protein 1	116472
P29558;P29558-2;Q15434	P29558;P29558-2;Q15434	RBMS1_HUMAN;RBMS2_HUMAN	RBMS1;RBMS2	RNA-binding motif, single-stranded-interacting protein 1	299467
P29590	P29590;P29590-8;P29590-9;P29590-5;P29590-2;P29590-4;P29590-10;P29590-3;P29590-11;P29590-12;P29590-13;P29590-14	PML_HUMAN	PML	Protein PML	1.02908e+06
P29597	P29597	TYK2_HUMAN	TYK2	Non-receptor tyrosine-protein kinase TYK2	57199
P29692;P29692-2	P29692;P29692-2;P29692-3;P29692-4	EF1D_HUMAN	EEF1D	Elongation factor 1-delta	1.12521e+07
P29728;P29728-2	P29728;P29728-2	OAS2_HUMAN	OAS2	2'-5'-oligoadenylate synthase 2	39766
P29992	P29992	GNA11_HUMAN	GNA11	Guanine nucleotide-binding protein subunit alpha-11	330572
P29992;P50148	P50148;P29992	GNA11_HUMAN;GNAQ_HUMAN	GNA11;GNAQ	Guanine nucleotide-binding protein subunit alpha-11	99647
P29992;P50148;Q14344	P50148;O95837;Q03113;Q03113-2;Q03113-3;P29992;P19086;Q14344;Q14344-2	GNA11_HUMAN;GNA13_HUMAN;GNAQ_HUMAN	GNA11;GNA13;GNAQ	Guanine nucleotide-binding protein subunit alpha-11	102254
P30038	P30038;P30038-2;P30038-3	AL4A1_HUMAN	ALDH4A1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	224691
P30039	P30039;P30039-2	PBLD_HUMAN	PBLD	Phenazine biosynthesis-like domain-containing protein	240479
P30040	P30040	ERP29_HUMAN	ERP29	Endoplasmic reticulum resident protein 29	8.88211e+06
P30041	P30041	PRDX6_HUMAN	PRDX6	Peroxiredoxin-6	2.43547e+07
P30043	P30043	BLVRB_HUMAN	BLVRB	Flavin reductase (NADPH)	4.86014e+06
P30044;P30044-2	P30044;P30044-2;P30044-3	PRDX5_HUMAN	PRDX5	Peroxiredoxin-5, mitochondrial	2.48021e+07
P30046	P30046;P30046-2;A6NHG4	DOPD_HUMAN	DDT	D-dopachrome decarboxylase	2.9913e+06
P30047	P30047;P30047-2	GFRP_HUMAN	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein	2.15476e+06
P30048;P30048-2	P30048;P30048-2	PRDX3_HUMAN	PRDX3	Thioredoxin-dependent peroxide reductase, mitochondrial	7.01588e+06
P30049	P30049	ATPD_HUMAN	ATP5F1D	ATP synthase subunit delta, mitochondrial	3.76043e+06
P30050	P30050	RL12_HUMAN	RPL12	60S ribosomal protein L12	1.02004e+07
P30084	P30084	ECHM_HUMAN	ECHS1	Enoyl-CoA hydratase, mitochondrial	4.75859e+06
P30085	P30085;P30085-3	KCY_HUMAN	CMPK1	UMP-CMP kinase	3.05904e+06
P30086	P30086	PEBP1_HUMAN	PEBP1	Phosphatidylethanolamine-binding protein 1	8.619e+06
P30101	P30101	PDIA3_HUMAN	PDIA3	Protein disulfide-isomerase A3	2.80735e+07
P30153	P30153	2AAA_HUMAN	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	6.62027e+06
P30153;P30154-3	P30154;P30154-2;P30154-3;P30154-4;P30154-5;P30153	2AAA_HUMAN;2AAB_HUMAN	PPP2R1A;PPP2R1B	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1.20519e+06
P30154-3	P30154;P30154-2;P30154-3;P30154-4;P30154-5	2AAB_HUMAN	PPP2R1B	Isoform 3 of Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform	577548
P30260;P30260-2	P30260;P30260-2	CDC27_HUMAN	CDC27	Cell division cycle protein 27 homolog	1.14014e+06
P30405	P30405;P30405-2	PPIF_HUMAN	PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	2.08153e+06
P30405;P49792;Q08752	P30405;P30405-2;Q08752;P49792	PPID_HUMAN;PPIF_HUMAN;RBP2_HUMAN	PPID;PPIF;RANBP2	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	114555
P30405;Q9UNP9;Q9UNP9-2;Q9UNP9-3	P30405;Q9UNP9;Q9UNP9-2;Q9UNP9-3	PPIE_HUMAN;PPIF_HUMAN	PPIE;PPIF	Peptidyl-prolyl cis-trans isomerase F, mitochondrial	182458
P30414	P30414	NKTR_HUMAN	NKTR	NK-tumor recognition protein	392609
P30419	P30419;P30419-2	NMT1_HUMAN	NMT1	Glycylpeptide N-tetradecanoyltransferase 1	1.86677e+06
P30519;P30519-2	P30519;P30519-2	HMOX2_HUMAN	HMOX2	Heme oxygenase 2	1.10173e+06
P30520	P30520	PURA2_HUMAN	ADSS2	Adenylosuccinate synthetase isozyme 2	2.22242e+06
P30520;Q8N142	P30520;Q8N142;Q8N142-2	PURA1_HUMAN;PURA2_HUMAN	ADSS1;ADSS2	Adenylosuccinate synthetase isozyme 2	50211
P30530;P30530-2	P30530;P30530-2	UFO_HUMAN	AXL	Tyrosine-protein kinase receptor UFO	178561
P30533	P30533	AMRP_HUMAN	LRPAP1	Alpha-2-macroglobulin receptor-associated protein	907992
P30536	P30536	TSPO_HUMAN	TSPO	Translocator protein	728920
P30566	P30566;P30566-2	PUR8_HUMAN	ADSL	Adenylosuccinate lyase	2.46424e+06
P30622;P30622-1;P30622-2	P30622;P30622-1;P30622-2	CLIP1_HUMAN	CLIP1	CAP-Gly domain-containing linker protein 1	2.21359e+06
P30622;P30622-1;P30622-2;Q9UDT6;Q9UDT6-2	P30622;P30622-1;P30622-2;Q9UDT6;Q9UDT6-2	CLIP1_HUMAN;CLIP2_HUMAN	CLIP1;CLIP2	CAP-Gly domain-containing linker protein 1	142921
P30626;P30626-2;P30626-3	P30626;P30626-2;P30626-3	SORCN_HUMAN	SRI	Sorcin	1.01661e+06
P30679	P30679	GNA15_HUMAN	GNA15	Guanine nucleotide-binding protein subunit alpha-15	220762
P30711	P30711;P30711-2	GSTT1_HUMAN	GSTT1	Glutathione S-transferase theta-1	411845
P30740	P30740	ILEU_HUMAN	SERPINB1	Leukocyte elastase inhibitor	8.03644e+06
P30740;P50452;P50453	P30740;P30740-2;O75830;P50452;P50452-2;P50453	ILEU_HUMAN;SPB8_HUMAN;SPB9_HUMAN	SERPINB1;SERPINB8;SERPINB9	Leukocyte elastase inhibitor	60766
P30825	P30825	SL7A1_HUMAN	SLC7A1	High affinity cationic amino acid transporter 1	608496
P30837	P30837;P47895	AL1B1_HUMAN	ALDH1B1	Aldehyde dehydrogenase X, mitochondrial	1.25035e+06
P30838	P30838	AL3A1_HUMAN	ALDH3A1	Aldehyde dehydrogenase, dimeric NADP-preferring	998395
P30838;P43353;P51648;P51648-2	P43353;P43353-2;P48448;P30838;P51648;P51648-2	AL3A1_HUMAN;AL3A2_HUMAN;AL3B1_HUMAN	ALDH3A1;ALDH3A2;ALDH3B1	Aldehyde dehydrogenase, dimeric NADP-preferring	308948
P30876	P30876	RPB2_HUMAN	POLR2B	DNA-directed RNA polymerase II subunit RPB2	4.13371e+06
P30876;Q9H9Y6;Q9H9Y6-3	Q9H9Y6;Q9H9Y6-2;Q9H9Y6-3;Q9H9Y6-4;Q9H9Y6-5;P30876	RPA2_HUMAN;RPB2_HUMAN	POLR1B;POLR2B	DNA-directed RNA polymerase II subunit RPB2	76887
P31040;P31040-2	P31040;P31040-2;P31040-3	SDHA_HUMAN	SDHA	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	3.34013e+06
P31146	P31146	COR1A_HUMAN	CORO1A	Coronin-1A	581529
P31146;Q7L014	Q7L014;P31146	COR1A_HUMAN;DDX46_HUMAN	CORO1A;DDX46	Coronin-1A	147819
P31150	P31150	GDIA_HUMAN	GDI1	Rab GDP dissociation inhibitor alpha	2.45025e+06
P31150;P50395	P31150;P50395;P50395-2	GDIA_HUMAN;GDIB_HUMAN	GDI1;GDI2	Rab GDP dissociation inhibitor alpha	9.4957e+06
P31153	P31153;P31153-2	METK2_HUMAN	MAT2A	S-adenosylmethionine synthase isoform type-2	4.10875e+06
P31153;Q00266	P31153;P31153-2;Q00266	METK1_HUMAN;METK2_HUMAN	MAT1A;MAT2A	S-adenosylmethionine synthase isoform type-2	1.16609e+06
P31271;P31276	P31276;P31271	HXA13_HUMAN;HXC13_HUMAN	HOXA13;HOXC13	Homeobox protein Hox-A13	53206
P31321	P31321	KAP1_HUMAN	PRKAR1B	cAMP-dependent protein kinase type I-beta regulatory subunit	133868
P31327;P31327-3	P31327;P31327-2;P31327-3	CPSM_HUMAN	CPS1	Carbamoyl-phosphate synthase [ammonia], mitochondrial	4.13453e+07
P31350;P31350-2	P31350;P31350-2	RIR2_HUMAN	RRM2	Ribonucleoside-diphosphate reductase subunit M2	2.00298e+06
P31350;P31350-2;Q7LG56;Q7LG56-6	Q7LG56;Q7LG56-2;Q7LG56-6;P31350;P31350-2	RIR2B_HUMAN;RIR2_HUMAN	RRM2;RRM2B	Ribonucleoside-diphosphate reductase subunit M2	175061
P31431;P31431-2	P31431;P31431-2	SDC4_HUMAN	SDC4	Syndecan-4	248888
P31483	P31483;P31483-2;P31483-3	TIA1_HUMAN	TIA1	Nucleolysin TIA-1 isoform p40	214075
P31483;Q01085	P31483;P31483-2;P31483-3;Q01085;Q01085-2	TIA1_HUMAN;TIAR_HUMAN	TIA1;TIAL1	Nucleolysin TIA-1 isoform p40	757541
P31629	P31629	ZEP2_HUMAN	HIVEP2	Transcription factor HIVEP2	690147
P31641	P31641	SC6A6_HUMAN	SLC6A6	Sodium- and chloride-dependent taurine transporter	62889
P31689	P31689	DNJA1_HUMAN	DNAJA1	DnaJ homolog subfamily A member 1	2.0846e+06
P31749	P31749;P31749-2	AKT1_HUMAN	AKT1	RAC-alpha serine/threonine-protein kinase	406047
P31749;P31751	P31749;P31749-2;Q9Y243;Q9Y243-2;P31751	AKT1_HUMAN;AKT2_HUMAN	AKT1;AKT2	RAC-alpha serine/threonine-protein kinase	178009
P31751	P31751;P31751-2	AKT2_HUMAN	AKT2	RAC-beta serine/threonine-protein kinase	218407
P31930	P31930	QCR1_HUMAN	UQCRC1	Cytochrome b-c1 complex subunit 1, mitochondrial	4.27467e+06
P31937	P31937	3HIDH_HUMAN	HIBADH	3-hydroxyisobutyrate dehydrogenase, mitochondrial	1.39936e+06
P31939;P31939-2	P31939;P31939-2	PUR9_HUMAN	ATIC	Bifunctional purine biosynthesis protein PURH	1.01774e+07
P31942;P31942-2	P31942;P31942-2;P31942-3;P31942-4	HNRH3_HUMAN	HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	6.05545e+06
P31942;P31942-2;P31943;P52597;P55795	P55795;P52597;P31943;P31942;P31942-2;P31942-3	HNRH1_HUMAN;HNRH2_HUMAN;HNRH3_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2;HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	392370
P31943	P31943	HNRH1_HUMAN	HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	1.33971e+07
P31943;P52597	P52597;P31943	HNRH1_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1	Heterogeneous nuclear ribonucleoprotein H	3.80597e+06
P31943;P52597;P55795	P55795;P52597;P31943	HNRH1_HUMAN;HNRH2_HUMAN;HNRPF_HUMAN	HNRNPF;HNRNPH1;HNRNPH2	Heterogeneous nuclear ribonucleoprotein H	3.73043e+06
