Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9Y512	Q9Y512	SAM50_HUMAN	SAMM50	Sorting and assembly machinery component 50 homolog	3.62684e+06
Q9Y520;Q9Y520-5;Q9Y520-7	Q9Y520;Q9Y520-2;Q9Y520-4;Q9Y520-5;Q9Y520-6;Q9Y520-7	PRC2C_HUMAN	PRRC2C	Protein PRRC2C	4.06174e+06
Q9Y530	Q9Y530	OARD1_HUMAN	OARD1	ADP-ribose glycohydrolase OARD1	178618
Q9Y535;Q9Y535-2	Q9Y535;Q9Y535-2	RPC8_HUMAN	POLR3H	DNA-directed RNA polymerase III subunit RPC8	140027
Q9Y543;Q9Y543-2	Q9Y543;Q9Y543-2	HES2_HUMAN	HES2	Transcription factor HES-2	425672
Q9Y547	Q9Y547	IFT25_HUMAN	HSPB11	Intraflagellar transport protein 25 homolog	226356
Q9Y570;Q9Y570-4	Q9Y570;Q9Y570-2;Q9Y570-3;Q9Y570-4	PPME1_HUMAN	PPME1	Protein phosphatase methylesterase 1	1.97259e+06
Q9Y575;Q9Y575-2;Q9Y575-3	Q9Y575;Q9Y575-2;Q9Y575-3	ASB3_HUMAN	ASB3	Ankyrin repeat and SOCS box protein 3	49111
Q9Y580	Q9Y580	RBM7_HUMAN	RBM7	RNA-binding protein 7	115241
Q9Y584	Q9Y584	TIM22_HUMAN	TIMM22	Mitochondrial import inner membrane translocase subunit Tim22	68167
Q9Y587	Q9Y587;Q9Y587-2;Q9Y587-3;Q9Y587-4	AP4S1_HUMAN	AP4S1	AP-4 complex subunit sigma-1	66917
Q9Y597;Q9Y597-2	Q9Y597;Q9Y597-2	KCTD3_HUMAN	KCTD3	BTB/POZ domain-containing protein KCTD3	95449
Q9Y5A7;Q9Y5A7-2	Q9Y5A7;Q9Y5A7-2	NUB1_HUMAN	NUB1	NEDD8 ultimate buster 1	445686
Q9Y5A9	Q9Y5A9;Q9Y5A9-2	YTHD2_HUMAN	YTHDF2	YTH domain-containing family protein 2	939925
Q9Y5B0;Q9Y5B0-4	Q9Y5B0;Q9Y5B0-4	CTDP1_HUMAN	CTDP1	RNA polymerase II subunit A C-terminal domain phosphatase	377312
