Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
Q9BXS9;Q9BXS9-2;Q9BXS9-3;Q9BXS9-7	Q9BXS9;Q9BXS9-2;Q9BXS9-3;Q9BXS9-4;Q9BXS9-5;Q9BXS9-7	S26A6_HUMAN	SLC26A6	Solute carrier family 26 member 6	472171
Q9BXT5	Q9BXT5	TEX15_HUMAN	TEX15	Testis-expressed protein 15	69632
Q9BXT5;Q9Y4L1	Q9Y4L1;Q9BXT5	HYOU1_HUMAN;TEX15_HUMAN	HYOU1;TEX15	Testis-expressed protein 15	657150
Q9BXV9	Q9BXV9	GON7_HUMAN	GON7	EKC/KEOPS complex subunit GON7	56894
Q9BXW6	Q9BXW6;Q9BXW6-2;Q9BXW6-4	OSBL1_HUMAN	OSBPL1A	Oxysterol-binding protein-related protein 1	301726
Q9BXW7;Q9BXW7-2	Q9BXW7;Q9BXW7-2	HDHD5_HUMAN	HDHD5	Haloacid dehalogenase-like hydrolase domain-containing 5	104449
Q9BXW9;Q9BXW9-1	Q9BXW9;Q9BXW9-1;Q9BXW9-3;Q9BXW9-4	FACD2_HUMAN	FANCD2	Fanconi anemia group D2 protein	655523
Q9BXX2	Q9BXX2	AN30B_HUMAN	ANKRD30B	Ankyrin repeat domain-containing protein 30B	2.67909e+06
Q9BXY0	Q9BXY0	MAK16_HUMAN	MAK16	Protein MAK16 homolog	126555
Q9BY12	Q9BY12	SCAPE_HUMAN	SCAPER	S phase cyclin A-associated protein in the endoplasmic reticulum	307252
Q9BY32	Q9BY32;Q9BY32-2;Q9BY32-3	ITPA_HUMAN	ITPA	Inosine triphosphate pyrophosphatase	309360
Q9BY41;Q9BY41-4	Q9BY41;Q9BY41-4;Q9BY41-5;Q9BY41-6	HDAC8_HUMAN	HDAC8	Histone deacetylase 8	65263
Q9BY42	Q9BY42	RTF2_HUMAN	RTF2	Replication termination factor 2	61726
Q9BY43;Q9BY43-2	Q9BY43;Q9BY43-2	CHM4A_HUMAN	CHMP4A	Charged multivesicular body protein 4a	431389
Q9BY44	Q9BY44;Q9BY44-2;Q9BY44-3;Q9BY44-4	EIF2A_HUMAN	EIF2A	Eukaryotic translation initiation factor 2A	678435
