Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	HeLa_50ng_2ACN01TFA_0015DDM_2uL_VNeo_Aurora15_16_23p65m150nlv18Zebra_DIA75msW83_TT0000230_B-A1_1_14631
O00506;O00506-2;O00506-3	O00506;O00506-2;O00506-3	STK25_HUMAN	STK25	Serine/threonine-protein kinase 25	24366
O00506;O00506-2;O00506-3;Q9P289	O00506;O00506-2;O00506-3;Q9P289;Q9P289-2	STK25_HUMAN;STK26_HUMAN	STK25;STK26	Serine/threonine-protein kinase 25	220868
O00506;O00506-2;O00506-3;Q9P289;Q9Y6E0	Q9Y6E0;Q9Y6E0-2;O00506;O00506-2;O00506-3;Q9P289;Q9P289-2	STK24_HUMAN;STK25_HUMAN;STK26_HUMAN	STK24;STK25;STK26	Serine/threonine-protein kinase 25	308803
O00507-2	O00507;O00507-2	USP9Y_HUMAN	USP9Y	Isoform Short of Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	105556
O00507-2;Q93008;Q93008-1	O00507;O00507-2;Q93008;Q93008-1	USP9X_HUMAN;USP9Y_HUMAN	USP9X;USP9Y	Isoform Short of Probable ubiquitin carboxyl-terminal hydrolase FAF-Y	254600
O00534	O00534;O00534-2;O00534-3;O00534-4	VMA5A_HUMAN	VWA5A	von Willebrand factor A domain-containing protein 5A	210574
O00541	O00541;O00541-2	PESC_HUMAN	PES1	Pescadillo homolog	247029
O00560	O00560;O00560-2	SDCB1_HUMAN	SDCBP	Syntenin-1	129807
O00562;O00562-2	O00562;O00562-2	PITM1_HUMAN	PITPNM1	Membrane-associated phosphatidylinositol transfer protein 1	139204
O00566	O00566	MPP10_HUMAN	MPHOSPH10	U3 small nucleolar ribonucleoprotein protein MPP10	96662
O00567	O00567	NOP56_HUMAN	NOP56	Nucleolar protein 56	599687
O00571;O00571-2	O00571;O00571-2;O15523;O15523-2;O15523-3	DDX3X_HUMAN	DDX3X	ATP-dependent RNA helicase DDX3X	820700
O00571;O00571-2;P17844;Q92841	O00571;O00571-2;P17844;P17844-2;Q92841;Q92841-1;Q92841-2;Q92841-3;O15523;O15523-2	DDX17_HUMAN;DDX3X_HUMAN;DDX5_HUMAN	DDX17;DDX3X;DDX5	ATP-dependent RNA helicase DDX3X	791436
O00584	O00584;O00584-2	RNT2_HUMAN	RNASET2	Ribonuclease T2	21864
O00592;O00592-2	O00592;O00592-2	PODXL_HUMAN	PODXL	Podocalyxin	1.40808e+06
O00625	O00625	PIR_HUMAN	PIR	Pirin	294087
O00629	O00629	IMA3_HUMAN	KPNA4	Importin subunit alpha-3	201399
O00635	O00635	TRI38_HUMAN	TRIM38	E3 ubiquitin-protein ligase TRIM38	43814
O00712;O00712-4;O00712-5	O00712;O00712-4;O00712-5;O00712-6	NFIB_HUMAN	NFIB	Nuclear factor 1 B-type	185011
O00712;O00712-4;O00712-5;P08651;P08651-2;P08651-3;P08651-4;P08651-5;P08651-6;Q12857;Q12857-2;Q12857-3;Q12857-4	O00712;O00712-2;O00712-4;O00712-5;Q14938;Q14938-2;Q14938-3;Q14938-4;Q14938-5;Q14938-6;Q12857;Q12857-2;Q12857-3;Q12857-4;P08651;P08651-2;P08651-3;P08651-4;P08651-5;P08651-6	NFIA_HUMAN;NFIB_HUMAN;NFIC_HUMAN	NFIA;NFIB;NFIC	Nuclear factor 1 B-type	76171
O00743;O00743-3	O00743;O00743-2;O00743-3	PPP6_HUMAN	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit	133457
O00750	O00750	P3C2B_HUMAN	PIK3C2B	Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta	372296
O00754;O00754-2	O00754;O00754-2	MA2B1_HUMAN	MAN2B1	Lysosomal alpha-mannosidase	220677
O00762;O00762-3;O00762-4	O00762;O00762-2;O00762-3;O00762-4	UBE2C_HUMAN	UBE2C	Ubiquitin-conjugating enzyme E2 C	32654
O00763;O00763-2;O00763-3	O00763;O00763-2;O00763-3	ACACB_HUMAN	ACACB	Acetyl-CoA carboxylase 2	101744
O00763;O00763-2;O00763-3;Q13085;Q13085-4	O00763;O00763-2;O00763-3;Q13085;Q13085-2;Q13085-3;Q13085-4	ACACA_HUMAN;ACACB_HUMAN	ACACA;ACACB	Acetyl-CoA carboxylase 2	119938
O00764	O00764;O00764-3	PDXK_HUMAN	PDXK	Pyridoxal kinase	688809
O00767	O00767	ACOD_HUMAN	SCD	Acyl-CoA desaturase	1.05906e+06
O14493;O15551;O95484;P56747	P56747;O14493;O15551;O95484	CLD3_HUMAN;CLD4_HUMAN;CLD6_HUMAN;CLD9_HUMAN	CLDN3;CLDN4;CLDN6;CLDN9	Claudin-4	158718
O14497	O14497;O14497-2;O14497-3	ARI1A_HUMAN	ARID1A	AT-rich interactive domain-containing protein 1A	94290
O14497;Q8NFD5;Q8NFD5-2;Q8NFD5-3	Q8NFD5;Q8NFD5-2;Q8NFD5-3;Q8NFD5-4;O14497;O14497-2;O14497-3	ARI1A_HUMAN;ARI1B_HUMAN	ARID1A;ARID1B	AT-rich interactive domain-containing protein 1A	38855
O14519;O14519-2;O75956	O75956;O14519;O14519-2	CDKA1_HUMAN;CDKA2_HUMAN	CDK2AP1;CDK2AP2	Cyclin-dependent kinase 2-associated protein 1	17911
O14521;O14521-2	O14521;O14521-2	DHSD_HUMAN	SDHD	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial	114769
O14523;O14523-2	O14523;O14523-2	C2C2L_HUMAN	C2CD2L	Phospholipid transfer protein C2CD2L	18547
O14529	O14529	CUX2_HUMAN	CUX2	Homeobox protein cut-like 2	419554
O14530;O14530-2	O14530;O14530-2	TXND9_HUMAN	TXNDC9	Thioredoxin domain-containing protein 9	53595
O14531	O14531	DPYL4_HUMAN	DPYSL4	Dihydropyrimidinase-related protein 4	253043
O14545	O14545	TRAD1_HUMAN	TRAFD1	TRAF-type zinc finger domain-containing protein 1	24205
O14548	O14548	COX7R_HUMAN	COX7A2L	Cytochrome c oxidase subunit 7A-related protein, mitochondrial	77898
O14561	O14561	ACPM_HUMAN	NDUFAB1	Acyl carrier protein, mitochondrial	771480
O14562	O14562	UBFD1_HUMAN	UBFD1	Ubiquitin domain-containing protein UBFD1	143416
O14578;O14578-4	O14578;O14578-2;O14578-4	CTRO_HUMAN	CIT	Citron Rho-interacting kinase	100323
O14579	O14579;O14579-2	COPE_HUMAN	COPE	Coatomer subunit epsilon	342632
O14593	O14593	RFXK_HUMAN	RFXANK	DNA-binding protein RFXANK	16077
O14617;O14617-5	O14617;O14617-4;O14617-5	AP3D1_HUMAN	AP3D1	AP-3 complex subunit delta-1	208219
O14618	O14618	CCS_HUMAN	CCS	Copper chaperone for superoxide dismutase	193292
O14627	O14627	CDX4_HUMAN	CDX4	Homeobox protein CDX-4	68010
O14628;O14628-4;O14628-5;O14628-6;O14628-7	O14628;O14628-4;O14628-5;O14628-6;O14628-7	ZN195_HUMAN	ZNF195	Zinc finger protein 195	172595
O14639;O14639-2;O14639-3;O14639-5;O14639-6	O14639;O14639-2;O14639-3;O14639-4;O14639-5;O14639-6	ABLM1_HUMAN	ABLIM1	Actin-binding LIM protein 1	147694
O14641	O14641	DVL2_HUMAN	DVL2	Segment polarity protein dishevelled homolog DVL-2	38930
O14641;P54792;P54792-2;Q92997	O14640;O14640-2;P54792;P54792-2;O14641;Q92997;Q92997-2	DVL2_HUMAN;DVL3_HUMAN;DVLP1_HUMAN	DVL1P1;DVL2;DVL3	Segment polarity protein dishevelled homolog DVL-2	70597
O14641;Q92997	O14641;Q92997;Q92997-2	DVL2_HUMAN;DVL3_HUMAN	DVL2;DVL3	Segment polarity protein dishevelled homolog DVL-2	10397
O14646;O14646-2	O14646;O14646-2	CHD1_HUMAN	CHD1	Chromodomain-helicase-DNA-binding protein 1	66311
O14646;O14646-2;O14647;O14647-2	O14646;O14646-2;O14647;O14647-2	CHD1_HUMAN;CHD2_HUMAN	CHD1;CHD2	Chromodomain-helicase-DNA-binding protein 1	222365
O14647;O14647-2	O14647;O14647-2	CHD2_HUMAN	CHD2	Chromodomain-helicase-DNA-binding protein 2	374338
O14653;O14653-2	O14653;O14653-2;O14653-3	GOSR2_HUMAN	GOSR2	Golgi SNAP receptor complex member 2	53381
O14656	O14656	TOR1A_HUMAN	TOR1A	Torsin-1A	211555
O14657	O14657	TOR1B_HUMAN	TOR1B	Torsin-1B	136749
O14662;O14662-2;O14662-4;O14662-5	O14662;O14662-2;O14662-3;O14662-4;O14662-5;O14662-6	STX16_HUMAN	STX16	Syntaxin-16	38449
O14672	O14672	ADA10_HUMAN	ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	197280
O14681	O14681;O14681-3	EI24_HUMAN	EI24	Etoposide-induced protein 2.4 homolog	74456
O14684	O14684	PTGES_HUMAN	PTGES	Prostaglandin E synthase	118586
O14686;O14686-3	O14686;O14686-3	KMT2D_HUMAN	KMT2D	Histone-lysine N-methyltransferase 2D	181171
O14713;O14713-2	O14713;O14713-2	ITBP1_HUMAN	ITGB1BP1	Integrin beta-1-binding protein 1	4710
O14715;Q99666;Q99666-2	O14715;Q99666;Q99666-2	RGPD5_HUMAN;RGPD8_HUMAN	RGPD5;RGPD8	RANBP2-like and GRIP domain-containing protein 8	86214
O14727;O14727-4;O14727-5	O14727;O14727-2;O14727-3;O14727-4;O14727-5;O14727-6	APAF_HUMAN	APAF1	Apoptotic protease-activating factor 1	43660
O14730;O14730-2	O14730;O14730-2	RIOK3_HUMAN	RIOK3	Serine/threonine-protein kinase RIO3	109252
O14732;O14732-2	O14732;O14732-2	IMPA2_HUMAN	IMPA2	Inositol monophosphatase 2	187333
O14733;O14733-4	O14733;O14733-2;O14733-3;O14733-4	MP2K7_HUMAN	MAP2K7	Dual specificity mitogen-activated protein kinase kinase 7	66272
O14734	O14734	ACOT8_HUMAN	ACOT8	Acyl-coenzyme A thioesterase 8	1.99906e+06
O14735;O14735-3	O14735;O14735-3	CDIPT_HUMAN	CDIPT	CDP-diacylglycerol--inositol 3-phosphatidyltransferase	303632
O14737	O14737;O14737-2	PDCD5_HUMAN	PDCD5	Programmed cell death protein 5	683989
O14744	O14744;O14744-2;O14744-4;O14744-5;O14744-3	ANM5_HUMAN	PRMT5	Protein arginine N-methyltransferase 5	355176
O14745	O14745;O14745-2	NHRF1_HUMAN	SLC9A3R1	Na(+)/H(+) exchange regulatory cofactor NHE-RF1	350589
O14757;O14757-2	O14757;O14757-2;O14757-3	CHK1_HUMAN	CHEK1	Serine/threonine-protein kinase Chk1	137865
O14763;O14763-2	O14763;O14763-2	TR10B_HUMAN	TNFRSF10B	Tumor necrosis factor receptor superfamily member 10B	171361
O14772	O14772;O14772-2	FPGT_HUMAN	FPGT	Fucose-1-phosphate guanylyltransferase	38736
O14773	O14773;O14773-2	TPP1_HUMAN	TPP1	Tripeptidyl-peptidase 1	624924
O14776;O14776-2	O14776;O14776-2	TCRG1_HUMAN	TCERG1	Transcription elongation regulator 1	465057
O14777	O14777	NDC80_HUMAN	NDC80	Kinetochore protein NDC80 homolog	273265
O14786;O14786-2;O14786-3	O14786;O14786-2;O14786-3	NRP1_HUMAN	NRP1	Neuropilin-1	27224
O14787-2	O14787;O14787-2	TNPO2_HUMAN	TNPO2	Isoform 2 of Transportin-2	72160
O14787-2;Q92973;Q92973-2	O14787-2;Q92973;Q92973-2;Q92973-3	TNPO1_HUMAN;TNPO2_HUMAN	TNPO1;TNPO2	Isoform 2 of Transportin-2	384760
O14795;O14795-2	O14795;O14795-2	UN13B_HUMAN	UNC13B	Protein unc-13 homolog B	15039
O14802	O14802	RPC1_HUMAN	POLR3A	DNA-directed RNA polymerase III subunit RPC1	781005
O14818	O14818;O14818-2	PSA7_HUMAN	PSMA7	Proteasome subunit alpha type-7	804171
O14828	O14828;O14828-2	SCAM3_HUMAN	SCAMP3	Secretory carrier-associated membrane protein 3	299961
O14832;O14832-2	O14832;O14832-2	PAHX_HUMAN	PHYH	Phytanoyl-CoA dioxygenase, peroxisomal	24086
O14841	O14841	OPLA_HUMAN	OPLAH	5-oxoprolinase	31606
O14867	O14867	BACH1_HUMAN	BACH1	Transcription regulator protein BACH1	34176
O14874;O14874-2;O14874-3	O14874;O14874-2;O14874-3	BCKD_HUMAN	BCKDK	[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial	40118
O14879	O14879	IFIT3_HUMAN	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3	32850
O14880	O14880	MGST3_HUMAN	MGST3	Microsomal glutathione S-transferase 3	263371
O14893;O14893-2;O14893-3	O14893;O14893-2;O14893-3	GEMI2_HUMAN	GEMIN2	Gem-associated protein 2	112549
O14896;O14896-2	O14896;O14896-2	IRF6_HUMAN	IRF6	Interferon regulatory factor 6	353713
O14907	O14907	TX1B3_HUMAN	TAX1BP3	Tax1-binding protein 3	82969
O14908	Q8TF64;O14908;O14908-2	GIPC1_HUMAN	GIPC1	PDZ domain-containing protein GIPC1	157410
O14920	O14920;O14920-2;O14920-4	IKKB_HUMAN	IKBKB	Inhibitor of nuclear factor kappa-B kinase subunit beta	1.21397e+06
O14925;Q5SRD1	Q5SRD1;O14925	TI23B_HUMAN;TIM23_HUMAN	TIMM23;TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23	59645
O14929	O14929;O14929-2	HAT1_HUMAN	HAT1	Histone acetyltransferase type B catalytic subunit	289057
O14936;O14936-3	O14936;O14936-2;O14936-3;O14936-4;O14936-6	CSKP_HUMAN	CASK	Peripheral plasma membrane protein CASK	130992
O14939;O14939-3;O14939-4	O14939;O14939-3;O14939-4	PLD2_HUMAN	PLD2	Phospholipase D2	8178
O14949	O14949	QCR8_HUMAN	UQCRQ	Cytochrome b-c1 complex subunit 8	114575
O14950;P19105	P19105;O14950	ML12A_HUMAN;ML12B_HUMAN	MYL12A;MYL12B	Myosin regulatory light chain 12B	941437
O14957	O14957	QCR10_HUMAN	UQCR11	Cytochrome b-c1 complex subunit 10	71057
O14964	O14964;O14964-2	HGS_HUMAN	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate	133377
O14965	O14965	AURKA_HUMAN	AURKA	Aurora kinase A	41062
O14967	O14967	CLGN_HUMAN	CLGN	Calmegin	289607
O14972;O14972-2	O14972;O14972-2	VP26C_HUMAN	VPS26C	Vacuolar protein sorting-associated protein 26C	23915
O14974	O14974;O14974-2;O14974-3;O14974-4	MYPT1_HUMAN	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A	164041
O14975	O14975;O14975-2	S27A2_HUMAN	SLC27A2	Very long-chain acyl-CoA synthetase	500389
O14976	O14976;O14976-2	GAK_HUMAN	GAK	Cyclin-G-associated kinase	383338
O14977	O14977	AZIN1_HUMAN	AZIN1	Antizyme inhibitor 1	19463
O14979	O14979;O14979-2;O14979-3	HNRDL_HUMAN	HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	2.57044e+06
O14979;Q14103;Q14103-2;Q14103-3;Q14103-4	Q14103;Q14103-2;Q14103-3;Q14103-4;O14979;O14979-2;O14979-3	HNRDL_HUMAN;HNRPD_HUMAN	HNRNPD;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	282747
O14979;Q99729;Q99729-2;Q99729-3;Q99729-4	Q99729;Q99729-2;Q99729-3;Q99729-4;O14979;O14979-2;O14979-3	HNRDL_HUMAN;ROAA_HUMAN	HNRNPAB;HNRNPDL	Heterogeneous nuclear ribonucleoprotein D-like	2.45e+06
O14980	O14980	XPO1_HUMAN	XPO1	Exportin-1	822752
O14981	O14981	BTAF1_HUMAN	BTAF1	TATA-binding protein-associated factor 172	67220
O15013;O15013-4;O15013-5;O15013-6;O15013-7	O15013;O15013-6;O15013-7;O15013-4;O15013-5	ARHGA_HUMAN	ARHGEF10	Rho guanine nucleotide exchange factor 10	59185
O15014	O15014	ZN609_HUMAN	ZNF609	Zinc finger protein 609	68479
O15015;O15015-1	O15015;O15015-1	ZN646_HUMAN	ZNF646	Zinc finger protein 646	42195
O15020	O15020;O15020-2	SPTN2_HUMAN	SPTBN2	Spectrin beta chain, non-erythrocytic 2	118998
O15020;P11277;P11277-2;P11277-3;Q01082	O15020;O15020-2;Q01082;Q01082-2;Q01082-3;P11277;P11277-2;P11277-3;Q9H254;Q9H254-2;Q9H254-4	SPTB1_HUMAN;SPTB2_HUMAN;SPTN2_HUMAN	SPTB;SPTBN1;SPTBN2	Spectrin beta chain, non-erythrocytic 2	248541
O15020;Q01082	O15020;O15020-2;Q01082;Q01082-2;Q01082-3	SPTB2_HUMAN;SPTN2_HUMAN	SPTBN1;SPTBN2	Spectrin beta chain, non-erythrocytic 2	165490
O15021;O15021-2;O15021-3;O15021-6	O15021;O15021-2;O15021-3;O15021-6	MAST4_HUMAN	MAST4	Microtubule-associated serine/threonine-protein kinase 4	68253
O15021;O15021-2;O15021-3;O15021-6;O60307;P51812;Q15418;Q15418-2;Q15418-4;Q96GX5;Q96GX5-2;Q96GX5-3;Q9UK32;Q9UK32-2	Q9Y2H9;Q6P0Q8;Q6P0Q8-2;O60307;P51812;Q15418;Q15418-2;Q15418-3;Q15418-4;O15021;O15021-2;O15021-3;O15021-6;Q9UK32;Q9UK32-2;Q96GX5;Q96GX5-2;Q96GX5-3	GWL_HUMAN;KS6A1_HUMAN;KS6A3_HUMAN;KS6A6_HUMAN;MAST3_HUMAN;MAST4_HUMAN	MAST3;MAST4;MASTL;RPS6KA1;RPS6KA3;RPS6KA6	Microtubule-associated serine/threonine-protein kinase 4	204850
O15027;O15027-2;O15027-3;O15027-4;O15027-5	O15027;O15027-2;O15027-3;O15027-4;O15027-5	SC16A_HUMAN	SEC16A	Protein transport protein Sec16A	267010
O15031	O15031	PLXB2_HUMAN	PLXNB2	Plexin-B2	117055
O15040;O15040-2	O15040;O15040-2	TCPR2_HUMAN	TECPR2	Tectonin beta-propeller repeat-containing protein 2	1.27526e+06
O15042;O15042-2	O15042;O15042-2;O15042-3	SR140_HUMAN	U2SURP	U2 snRNP-associated SURP motif-containing protein	398698
O15047	O15047	SET1A_HUMAN	SETD1A	Histone-lysine N-methyltransferase SETD1A	71009
O15050	O15050	TRNK1_HUMAN	TRANK1	TPR and ankyrin repeat-containing protein 1	2.24766e+06
O15056;O15056-2;O15056-3	O15056;O15056-2;O15056-3	SYNJ2_HUMAN	SYNJ2	Synaptojanin-2	163294
O15061	O15061	SYNEM_HUMAN	SYNM	Synemin	106223
O15066	O15066;O15066-2	KIF3B_HUMAN	KIF3B	Kinesin-like protein KIF3B	354784
O15066;Q9BVG8;Q9BVG8-2;Q9BVG8-6	O14782;Q9P2E2;Q9P2E2-3;Q9BVG8;Q9BVG8-2;Q9BVG8-5;Q9BVG8-6;O15066	KIF3B_HUMAN;KIFC3_HUMAN	KIF3B;KIFC3	Kinesin-like protein KIF3B	69730
O15067	O15067	PUR4_HUMAN	PFAS	Phosphoribosylformylglycinamidine synthase	366891
O15068;O15068-10;O15068-2;O15068-3;O15068-4;O15068-5;O15068-6;O15068-8;O15068-9	O15068;O15068-2;O15068-3;O15068-4;O15068-5;O15068-6;O15068-9;O15068-8;O15068-10	MCF2L_HUMAN	MCF2L	Guanine nucleotide exchange factor DBS	69491
O15078	O15078	CE290_HUMAN	CEP290	Centrosomal protein of 290 kDa	657681
O15083	O15083	ERC2_HUMAN	ERC2	ERC protein 2	49322
O15083;Q8IUD2	O15083;Q8IUD2;Q8IUD2-2;Q8IUD2-3;Q8IUD2-4;Q8IUD2-5	ERC2_HUMAN;RB6I2_HUMAN	ERC1;ERC2	ERC protein 2	79566
O15084	O15084;O15084-2;O15084-1;O15084-4	ANR28_HUMAN	ANKRD28	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	135839
O15084;Q8N8A2;Q8N8A2-2;Q8N8A2-4	Q8N8A2;Q8N8A2-2;Q8N8A2-3;Q8N8A2-4;Q8N8A2-5;O15084;O15084-2;O15084-1;O15084-4	ANR28_HUMAN;ANR44_HUMAN	ANKRD28;ANKRD44	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A	34546
O15085;O15085-2	O15085;O15085-2	ARHGB_HUMAN	ARHGEF11	Rho guanine nucleotide exchange factor 11	135884
O15091;O15091-2	O15091;O15091-2;O15091-3;O15091-4	MRPP3_HUMAN	PRORP	Mitochondrial ribonuclease P catalytic subunit	38191
O15111	O15111	IKKA_HUMAN	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha	271082
O15116	O15116	LSM1_HUMAN	LSM1	U6 snRNA-associated Sm-like protein LSm1	143582
O15118	O15118	NPC1_HUMAN	NPC1	NPC intracellular cholesterol transporter 1	121448
O15119;O15119-2	O15119;O15119-2	TBX3_HUMAN	TBX3	T-box transcription factor TBX3	133467
O15120	O15120	PLCB_HUMAN	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta	235184
O15121	O15121	DEGS1_HUMAN	DEGS1	Sphingolipid delta(4)-desaturase DES1	67352
O15126	O15126	SCAM1_HUMAN	SCAMP1	Secretory carrier-associated membrane protein 1	112302
O15126;Q9H2D6;Q9H2D6-3	Q9UL16;Q9UL16-2;Q9H2D6;Q9H2D6-2;Q9H2D6-3;Q9H2D6-5;Q9H2D6-6;Q9H2D6-7;O15126;O15126-2;Reverse_sp|Q8IVF4|DYH10_HUMAN	SCAM1_HUMAN;TARA_HUMAN	SCAMP1;TRIOBP	Secretory carrier-associated membrane protein 1	490218
O15127	O15127	SCAM2_HUMAN	SCAMP2	Secretory carrier-associated membrane protein 2	260111
O15131	O15131	IMA6_HUMAN	KPNA5	Importin subunit alpha-6	315181
O15131;O60684	O15131;O60684	IMA6_HUMAN;IMA7_HUMAN	KPNA5;KPNA6	Importin subunit alpha-6	243462
O15131;O60684;P52294	P52294;O15131;O60684	IMA5_HUMAN;IMA6_HUMAN;IMA7_HUMAN	KPNA1;KPNA5;KPNA6	Importin subunit alpha-6	177085
O15131;P52294	P52294;O15131	IMA5_HUMAN;IMA6_HUMAN	KPNA1;KPNA5	Importin subunit alpha-6	129675
O15143	O15143	ARC1B_HUMAN	ARPC1B	Actin-related protein 2/3 complex subunit 1B	265737
O15143;Q92747	O15143;Q92747;Q92747-2	ARC1A_HUMAN;ARC1B_HUMAN	ARPC1A;ARPC1B	Actin-related protein 2/3 complex subunit 1B	4591
O15144	O15144	ARPC2_HUMAN	ARPC2	Actin-related protein 2/3 complex subunit 2	472107
O15145	O15145	ARPC3_HUMAN	ARPC3	Actin-related protein 2/3 complex subunit 3	472883
O15155	O15155;O15155-2	BET1_HUMAN	BET1	BET1 homolog	42665
O15160	O15160;O15160-2	RPAC1_HUMAN	POLR1C	DNA-directed RNA polymerases I and III subunit RPAC1	188835
O15162;O15162-2	O15162;O15162-2	PLS1_HUMAN	PLSCR1	Phospholipid scramblase 1	107228
O15164;O15164-2	O15164;O15164-2	TIF1A_HUMAN	TRIM24	Transcription intermediary factor 1-alpha	79713
O15164;O15164-2;Q9UPN9	Q9UPN9;Q9UPN9-2;O15164;O15164-2	TIF1A_HUMAN;TRI33_HUMAN	TRIM24;TRIM33	Transcription intermediary factor 1-alpha	53733
O15173;O15173-2	O15173;O15173-2	PGRC2_HUMAN	PGRMC2	Membrane-associated progesterone receptor component 2	193008
O15182	O15182	CETN3_HUMAN	CETN3	Centrin-3	22860
O15211	O15211	RGL2_HUMAN	RGL2	Ral guanine nucleotide dissociation stimulator-like 2	132423
O15212	O15212	PFD6_HUMAN	PFDN6	Prefoldin subunit 6	449934
O15213	O15213	WDR46_HUMAN	WDR46	WD repeat-containing protein 46	110953
O15226;O15226-2	O15226;O15226-2	NKRF_HUMAN	NKRF	NF-kappa-B-repressing factor	158533
O15228	O15228;O15228-2	GNPAT_HUMAN	GNPAT	Dihydroxyacetone phosphate acyltransferase	77527
O15230	O15230	LAMA5_HUMAN	LAMA5	Laminin subunit alpha-5	618807
O15231;O15231-3;O15231-4;O15231-7	O15231;O15231-2;O15231-3;O15231-4;O15231-5;O15231-6;O15231-7;O15231-8;O15231-9	ZN185_HUMAN	ZNF185	Zinc finger protein 185	114576
O15234	O15234	CASC3_HUMAN	CASC3	Protein CASC3	119893
O15235	O15235	RT12_HUMAN	MRPS12	28S ribosomal protein S12, mitochondrial	45764
O15243	O15243	OBRG_HUMAN	LEPROT	Leptin receptor gene-related protein	11776
O15254;O15254-2	O15254;O15254-2	ACOX3_HUMAN	ACOX3	Peroxisomal acyl-coenzyme A oxidase 3	143945
O15258	O15258	RER1_HUMAN	RER1	Protein RER1	400775
O15260;O15260-2	O15260;O15260-2	SURF4_HUMAN	SURF4	Surfeit locus protein 4	1.96117e+06
O15264;O15264-2	O15264;O15264-2	MK13_HUMAN	MAPK13	Mitogen-activated protein kinase 13	109581
O15264;O15264-2;P45983;P45983-2;P45983-3;P45983-4;P45984;P45984-2;P45984-3;P45984-4;P53778;P53778-2;P53779;P53779-2;P53779-3;Q16539	P53778;P53778-2;P53779;P53779-2;P53779-3;P45983;P45983-2;P45983-3;P45983-4;P45983-5;O15264;O15264-2;P45984;P45984-2;P45984-3;P45984-4;P45984-5;Q16539;Q16539-2;Q16539-3;Q16539-4;Q16539-5;Q15759;Q15759-3	MK08_HUMAN;MK09_HUMAN;MK10_HUMAN;MK12_HUMAN;MK13_HUMAN;MK14_HUMAN	MAPK10;MAPK12;MAPK13;MAPK14;MAPK8;MAPK9	Mitogen-activated protein kinase 13	459116
O15265;O15265-2;O15265-3	O15265;O15265-2;O15265-3	ATX7_HUMAN	ATXN7	Ataxin-7	10316
O15269	O15269;O15269-2	SPTC1_HUMAN	SPTLC1	Serine palmitoyltransferase 1	67474
O15270	O15270	SPTC2_HUMAN	SPTLC2	Serine palmitoyltransferase 2	106871
O15287	O15287	FANCG_HUMAN	FANCG	Fanconi anemia group G protein	20478
O15294	O15294;O15294-2;O15294-3;O15294-4	OGT1_HUMAN	OGT	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	460729
O15304;O15304-2	O15304;O15304-2	SIVA_HUMAN	SIVA1	Apoptosis regulatory protein Siva	22821
O15305	O15305;O15305-2	PMM2_HUMAN	PMM2	Phosphomannomutase 2	314554
O15315;O15315-1;O15315-2;O15315-4	O15315;O15315-1;O15315-2;O15315-4	RA51B_HUMAN	RAD51B	DNA repair protein RAD51 homolog 2	112940
O15321;O15321-2	O15321;O15321-2	TM9S1_HUMAN	TM9SF1	Transmembrane 9 superfamily member 1	135721
O15344;O15344-2	O15344;O15344-2	TRI18_HUMAN	MID1	E3 ubiquitin-protein ligase Midline-1	62180
O15347	O15347	HMGB3_HUMAN	HMGB3	High mobility group protein B3	1.16748e+06
O15355	O15355	PPM1G_HUMAN	PPM1G	Protein phosphatase 1G	530726
O15357	O15357	SHIP2_HUMAN	INPPL1	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2	195492
O15360	O15360;O15360-2;O15360-3	FANCA_HUMAN	FANCA	Fanconi anemia group A protein	170437
O15371;O15371-2;O15371-3	O15371;O15371-2;O15371-3	EIF3D_HUMAN	EIF3D	Eukaryotic translation initiation factor 3 subunit D	579619
O15372	O15372	EIF3H_HUMAN	EIF3H	Eukaryotic translation initiation factor 3 subunit H	463182
O15379;O15379-2	O15379;O15379-2	HDAC3_HUMAN	HDAC3	Histone deacetylase 3	276910
O15379;O15379-2;Q13547;Q92769	Q92769;Q92769-3;Q13547;O15379;O15379-2	HDAC1_HUMAN;HDAC2_HUMAN;HDAC3_HUMAN	HDAC1;HDAC2;HDAC3	Histone deacetylase 3	296630
O15381	O15381;O15381-2;O15381-3;O15381-4;O15381-5	NVL_HUMAN	NVL	Nuclear valosin-containing protein-like	141653
